"(3.112454414367676, 20.656768798828125, 0.9977049231529236)","(12.842276573181152, 15.141277313232422, 0.9977049231529236)"
"(4.027671813964844, 20.546472549438477, 0.9977049231529236)","(13.57646369934082, 15.51624584197998, 1.0079296827316284)"
"(4.939023971557617, 20.4366397857666, 0.9977049231529236)","(14.310649871826172, 15.891215324401855, 1.0072656869888306)"
"(5.846510887145996, 20.327266693115234, 0.9977049231529236)","(15.04379940032959, 16.265657424926758, 0.998965859413147)"
"(6.7501325607299805, 20.218355178833008, 0.9977049231529236)","(15.770831108093262, 16.636863708496094, 0.9988471269607544)"
"(7.64988899230957, 20.109905242919922, 0.9977049231529236)","(16.49228286743164, 17.004030227661133, 1.0042803287506104)"
"(8.545780181884766, 20.00191879272461, 0.9977049231529236)","(17.213735580444336, 17.37119483947754, 0.9988247156143188)"
"(9.437821388244629, 19.894411087036133, 0.9975147247314453)","(17.930328369140625, 17.73590850830078, 0.9977049231529236)"
"(10.3258695602417, 19.787378311157227, 0.9976844787597656)","(18.642780303955078, 18.09842300415039, 0.9985575675964355)"
"(11.210105895996094, 19.680801391601562, 0.9977027177810669)","(19.350887298583984, 18.45779037475586, 1.0010952949523926)"
"(12.090483665466309, 19.57468605041504, 0.9977046847343445)","(20.056177139282227, 18.81498908996582, 1.0013911724090576)"
"(12.966996192932129, 19.469030380249023, 0.9977049231529236)","(20.757770538330078, 19.169309616088867, 1.0020085573196411)"
"(13.839643478393555, 19.36383819580078, 0.9977049231529236)","(21.4572811126709, 19.522117614746094, 0.9980685710906982)"
"(14.708563804626465, 19.259056091308594, 0.9971775412559509)","(22.152164459228516, 19.872621536254883, 0.9977049231529236)"
"(15.573073387145996, 19.154762268066406, 0.997648298740387)","(22.841341018676758, 20.21901512145996, 1.002894639968872)"
"(16.433866500854492, 19.05091094970703, 0.9976988434791565)","(23.53013801574707, 20.565221786499023, 0.9983742237091064)"
"(17.29081153869629, 18.947521209716797, 0.997704267501831)","(24.214216232299805, 20.909088134765625, 0.9977049231529236)"
