"(27.7398681640625, 19.712202072143555, 1.0)","(10.426473617553711, 13.925918579101562, 1.028145670890808)"
"(28.847068786621094, 19.15130043029785, 1.0)","(10.965461730957031, 13.933388710021973, 1.0476975440979004)"
"(30.029159545898438, 18.772592544555664, 1.0)","(11.504448890686035, 13.9408597946167, 1.0563604831695557)"
"(31.25112533569336, 18.556867599487305, 1.0)","(12.043436050415039, 13.94832992553711, 1.0541346073150635)"
"(32.490909576416016, 18.537656784057617, 1.0)","(12.582423210144043, 13.955801010131836, 1.0410197973251343)"
"(33.71188735961914, 18.752103805541992, 1.0)","(13.121410369873047, 13.963271141052246, 1.017016053199768)"
"(34.78912353515625, 19.347291946411133, 1.0)","(13.65378475189209, 13.970663070678711, 0.9990812540054321)"
"(35.3431510925293, 20.429956436157227, 1.0)","(14.175455093383789, 13.977926254272461, 0.9977049231529236)"
"(34.926883697509766, 21.54698944091797, 1.0)","(14.692342758178711, 13.985139846801758, 0.9975513815879822)"
"(33.801002502441406, 22.033987045288086, 1.0)","(15.204830169677734, 13.992302894592285, 0.9976884126663208)"
"(32.562469482421875, 22.053598403930664, 1.0)","(15.713119506835938, 13.999415397644043, 0.9977031350135803)"
"(31.331268310546875, 21.888296127319336, 1.00481116771698)","(16.217166900634766, 14.006477355957031, 0.9977047443389893)"
"(30.092891693115234, 21.79573631286621, 1.0192830562591553)","(16.716968536376953, 14.013487815856934, 0.9977048635482788)"
"(28.851531982421875, 21.743844985961914, 1.0379140377044678)","(17.2125244140625, 14.020447731018066, 0.9977049231529236)"
"(27.6094970703125, 21.71403694152832, 1.0603336095809937)","(17.703832626342773, 14.027356147766113, 0.9977049231529236)"
"(26.36746597290039, 21.68454360961914, 1.0834978818893433)","(18.187946319580078, 14.034188270568848, 1.0022879838943481)"
"(25.12545394897461, 21.656023025512695, 1.1089613437652588)","(18.6636905670166, 14.04094123840332, 1.0104869604110718)"
"(23.88355827331543, 21.623991012573242, 1.1351758241653442)","(19.139432907104492, 14.047694206237793, 1.007797122001648)"
"(22.642032623291016, 21.58108901977539, 1.1637154817581177)","(19.61370277404785, 14.054429054260254, 0.9980013966560364)"
"(21.400875091552734, 21.53095245361328, 1.1931045055389404)","(20.080020904541016, 14.061067581176758, 0.9977049231529236)"
"(20.16102409362793, 21.454940795898438, 1.2255313396453857)","(20.541975021362305, 14.067652702331543, 0.9977049231529236)"
"(18.923171997070312, 21.35698699951172, 1.2599443197250366)","(20.999685287475586, 14.074185371398926, 0.9977049231529236)"
"(17.689374923706055, 21.214452743530273, 1.2983927726745605)","(21.453147888183594, 14.080666542053223, 0.9977049231529236)"
"(16.475814819335938, 20.960525512695312, 1.3455963134765625)","(21.90236473083496, 14.087096214294434, 0.9977049231529236)"
"(15.406005859375, 20.388456344604492, 1.414756417274475)","(22.347335815429688, 14.093473434448242, 0.9977049231529236)"
"(16.165922164916992, 19.512710571289062, 1.464839220046997)","(22.788068771362305, 14.099800109863281, 0.9976797103881836)"
"(17.26500129699707, 18.933284759521484, 1.4836392402648926)","(23.22612190246582, 14.106135368347168, 0.9973502159118652)"
"(18.432279586791992, 18.509510040283203, 1.4884021282196045)","(23.664045333862305, 14.112483024597168, 0.9975467920303345)"
