trial_num,jspsychID,stimulus,agent,time_elapse,causal_rating,counterfactual_rating,animacy_rating,rt_1,rt_2,rt_3,trial_rt,subject_id,outcome,cf,outcome_CF_match,vid_num
10,s6x52p2895xf99y,15p_out_out_med.mp4,inanimate,394359.0,22,45,1,46980.5,45518.79999995232,41353.5,48691.29999995232,3,out,out,True,15
12,s6x52p2895xf99y,2p_in_out_close.mp4,inanimate,444602.0,27,83,75,37113.90000009537,45535.5,24105.09999990464,48466.0,3,in,out,False,2
14,s6x52p2895xf99y,14a_out_out_close.mp4,animate,490075.0,26,26,82,19932.700000047684,16328.799999952316,44037.20000004768,45194.60000014305,3,out,out,True,14
16,s6x52p2895xf99y,8p_in_in.mp4,inanimate,520592.0,1,89,19,13642.200000047684,19094.900000095367,28416.700000047684,30003.30000019073,3,in,in,True,8
18,s6x52p2895xf99y,2a_in_out_close.mp4,animate,547838.0,65,78,100,19263.79999995232,21183.59999990464,25091.199999809265,26218.5,3,in,out,False,2
20,s6x52p2895xf99y,1p_in_out_close.mp4,inanimate,589202.0,94,32,4,24300.89999985695,29084.29999995232,38036.59999990463,40587.89999985695,3,in,out,False,1
22,s6x52p2895xf99y,12p_in_in.mp4,inanimate,675572.0,15,75,22,83469.20000004768,68812.60000014305,80800.30000019073,85094.5,3,in,in,True,12
24,s6x52p2895xf99y,11a_in_in.mp4,animate,701018.0,82,28,100,18037.0,22293.0,24181.0,24919.79999995232,3,in,in,True,11
26,s6x52p2895xf99y,9p_in_in.mp4,inanimate,758919.0,63,57,1,34925.200000047684,53025.20000004768,56360.5,57373.5,3,in,in,True,9
28,s6x52p2895xf99y,22p_out_in_med.mp4,inanimate,804774.0,78,100,1,18076.09999990464,39798.90000009537,44532.29999995232,45582.0,3,out,in,False,22
30,s6x52p2895xf99y,22a_out_in_med.mp4,animate,836660.0,100,100,100,26454.5,28943.09999990464,12431.599999904633,30866.59999990464,3,out,in,False,22
32,s6x52p2895xf99y,10 a_in_in.mp4,animate,870418.0,91,92,100,24927.700000047684,31190.59999990464,16194.0,32746.0,3,in,in,True,10
34,s6x52p2895xf99y,21p_out_in_med.mp4,inanimate,896347.0,54,23,1,12223.5,15533.900000095367,23050.700000047684,23915.900000095367,3,out,in,False,21
36,s6x52p2895xf99y,24p_out_in_far.mp4,inanimate,930184.0,35,23,1,17882.700000047684,20542.10000014305,31175.0,32313.700000047684,3,out,in,False,24
38,s6x52p2895xf99y,15a_out_out_close.mp4,animate,967307.0,37,18,100,11632.699999809263,21494.0,33575.29999995232,35112.0,3,out,out,True,15
40,s6x52p2895xf99y,8a_in_in.mp4,animate,996384.0,1,100,100,13363.800000190737,20893.60000014305,25475.80000019073,28786.0,3,in,in,True,8
